CustomerID,CheckInDate,CheckOutDate,Duration
C4293,2024-10-21,2024-10-22,1
C649,2020-10-22,2020-10-25,3
C4504,2023-10-18,2023-10-24,6
C4117,2024-10-10,2024-10-14,4
C3538,2022-12-08,2022-12-11,3
C974,2022-03-24,2022-03-30,6
C4712,2023-02-13,2023-02-16,3
C730,2023-08-24,2023-08-25,1
C4615,2021-12-28,2022-01-03,6
C3660,2022-04-08,2022-04-13,5
C2156,2021-03-08,2021-03-15,7
C3805,2020-11-18,2020-11-20,2
C2208,2025-02-01,2025-02-03,2
C3934,2020-04-26,2020-04-27,1
C2681,2023-04-12,2023-04-17,5
C2352,2022-12-25,2022-12-28,3
C3317,2025-04-11,2025-04-13,2
C3821,2021-10-10,2021-10-17,7
C3242,2022-08-16,2022-08-23,7
C1888,2023-10-08,2023-10-12,4
C3034,2024-10-28,2024-10-30,2
C3832,2020-04-05,2020-04-06,1
C3702,2022-12-02,2022-12-04,2
C1785,2022-04-23,2022-04-24,1
C4203,2023-01-25,2023-01-27,2
C971,2024-02-24,2024-02-25,1
C4348,2021-08-24,2021-08-29,5
C4733,2023-06-25,2023-07-02,7
C4578,2020-01-07,2020-01-11,4
C336,2021-01-27,2021-02-02,6
C141,2021-09-17,2021-09-21,4
C2958,2022-07-06,2022-07-13,7
C3168,2022-11-19,2022-11-25,6
C3229,2022-09-17,2022-09-23,6
C4385,2023-11-23,2023-11-26,3
C1789,2023-08-10,2023-08-15,5
C2748,2021-04-14,2021-04-21,7
C3526,2022-10-30,2022-11-05,6
C121,2023-08-20,2023-08-24,4
C4943,2021-02-27,2021-03-02,3
C1514,2022-09-17,2022-09-20,3
C2707,2020-05-18,2020-05-20,2
C2486,2024-08-08,2024-08-09,1
C1577,2023-12-15,2023-12-16,1
C3376,2020-08-01,2020-08-02,1
C1180,2023-08-28,2023-08-29,1
C1346,2025-05-10,2025-05-11,1
C1563,2021-08-18,2021-08-25,7
C3303,2024-04-22,2024-04-24,2
C4153,2022-12-08,2022-12-09,1
C2805,2021-05-05,2021-05-12,7
C4665,2025-06-24,2025-06-26,2
C3266,2023-09-28,2023-10-02,4
C281,2020-01-06,2020-01-09,3
C1301,2021-05-09,2021-05-14,5
C4476,2023-12-04,2023-12-06,2
C5009,2024-01-29,2024-02-02,4
C4931,2023-10-18,2023-10-19,1
C2698,2024-12-19,2024-12-23,4
C1033,2020-12-02,2020-12-05,3
C375,2023-04-04,2023-04-08,4
C2087,2023-05-21,2023-05-25,4
C3758,2020-12-09,2020-12-10,1
C856,2024-03-14,2024-03-21,7
C982,2022-11-06,2022-11-07,1
C707,2025-08-07,2025-08-12,5
C2781,2024-11-08,2024-11-10,2
C173,2020-01-07,2020-01-10,3
C3392,2020-08-13,2020-08-17,4
C1877,2021-12-06,2021-12-12,6
C3804,2022-02-03,2022-02-08,5
C1354,2024-02-06,2024-02-10,4
C4577,2022-01-27,2022-02-03,7
C3591,2024-05-13,2024-05-20,7
C1576,2023-05-04,2023-05-08,4
C1134,2020-08-21,2020-08-24,3
C3859,2024-10-09,2024-10-15,6
C574,2021-07-06,2021-07-07,1
C1323,2022-11-09,2022-11-14,5
C1163,2020-05-08,2020-05-09,1
C5001,2022-05-01,2022-05-05,4
C3874,2023-12-22,2023-12-29,7
C3421,2024-08-08,2024-08-12,4
C546,2021-04-18,2021-04-25,7
C3948,2025-07-11,2025-07-17,6
C5007,2020-09-12,2020-09-16,4
C2134,2025-09-17,2025-09-21,4
C2454,2025-08-22,2025-08-28,6
C1330,2022-11-05,2022-11-08,3
C4201,2025-04-08,2025-04-15,7
C1271,2022-06-24,2022-06-27,3
C2611,2023-01-31,2023-02-02,2
C270,2025-02-09,2025-02-10,1
C1328,2022-02-01,2022-02-07,6
C3735,2021-04-29,2021-05-02,3
C3073,2021-07-30,2021-08-05,6
C2992,2021-09-03,2021-09-06,3
C4522,2025-05-17,2025-05-24,7
C4985,2021-09-30,2021-10-07,7
C2989,2024-06-01,2024-06-02,1
C2028,2022-05-19,2022-05-25,6
C964,2024-02-08,2024-02-12,4
C1934,2020-01-21,2020-01-28,7
C2046,2020-05-16,2020-05-22,6
C857,2024-01-31,2024-02-06,6
C1930,2025-08-07,2025-08-09,2
C4335,2020-04-04,2020-04-08,4
C4737,2022-06-05,2022-06-06,1
C1693,2020-04-06,2020-04-13,7
C1199,2025-03-21,2025-03-25,4
C2867,2025-10-19,2025-10-26,7
C359,2020-06-02,2020-06-08,6
C4314,2021-06-24,2021-06-29,5
C3418,2021-07-24,2021-07-29,5
C3785,2021-12-02,2021-12-03,1
C1363,2021-05-29,2021-05-30,1
C362,2025-07-22,2025-07-24,2
C5005,2025-09-19,2025-09-20,1
C4115,2025-06-05,2025-06-08,3
C3414,2024-05-30,2024-05-31,1
C3527,2025-02-27,2025-03-06,7
C4036,2021-11-30,2021-12-02,2
C3224,2021-02-18,2021-02-22,4
C1212,2022-06-26,2022-06-30,4
C4918,2020-02-24,2020-02-28,4
C3441,2023-11-17,2023-11-18,1
C643,2021-08-04,2021-08-09,5
C1128,2024-07-22,2024-07-24,2
C2300,2020-01-03,2020-01-08,5
C5080,2025-02-07,2025-02-11,4
C323,2022-12-22,2022-12-25,3
C1601,2021-03-25,2021-03-27,2
C1438,2025-05-25,2025-05-31,6
C3271,2022-01-03,2022-01-07,4
C1956,2020-06-22,2020-06-29,7
C2969,2024-12-02,2024-12-09,7
C1712,2025-01-06,2025-01-13,7
C3340,2023-04-15,2023-04-16,1
C1488,2024-06-22,2024-06-24,2
C3704,2024-02-18,2024-02-20,2
C2158,2022-12-26,2022-12-27,1
C1450,2020-02-05,2020-02-10,5
C4774,2023-11-05,2023-11-10,5
C1689,2020-01-18,2020-01-25,7
C828,2023-08-09,2023-08-15,6
C1737,2023-01-18,2023-01-20,2
C4342,2023-09-10,2023-09-17,7
C4062,2022-06-20,2022-06-27,7
C340,2020-09-28,2020-10-05,7
C4054,2021-11-26,2021-11-30,4
C982,2024-07-16,2024-07-18,2
C1652,2023-06-03,2023-06-08,5
C3345,2024-02-09,2024-02-13,4
C2132,2020-12-25,2020-12-29,4
C3854,2022-04-25,2022-05-02,7
C1357,2022-09-30,2022-10-01,1
C1314,2020-09-10,2020-09-11,1
C775,2023-06-01,2023-06-04,3
C1380,2023-07-12,2023-07-13,1
C4706,2024-10-14,2024-10-18,4
C4535,2023-08-11,2023-08-13,2
C2081,2025-05-22,2025-05-29,7
C4400,2020-10-14,2020-10-16,2
C4960,2023-08-16,2023-08-21,5
C4585,2023-01-30,2023-02-05,6
C969,2022-01-05,2022-01-09,4
C113,2021-02-20,2021-02-27,7
C1693,2025-01-12,2025-01-18,6
C3543,2025-02-28,2025-03-07,7
C2169,2020-02-20,2020-02-27,7
C3926,2022-06-23,2022-06-25,2
C572,2022-07-26,2022-08-01,6
C375,2021-09-12,2021-09-18,6
C2464,2022-02-12,2022-02-19,7
C2166,2024-12-22,2024-12-25,3
C287,2025-02-17,2025-02-21,4
C811,2025-05-26,2025-05-28,2
C1461,2025-11-11,2025-11-17,6
C4183,2023-01-10,2023-01-12,2
C4726,2021-11-14,2021-11-19,5
C3696,2022-03-03,2022-03-07,4
C3383,2022-01-03,2022-01-05,2
C3866,2021-03-06,2021-03-12,6
C3600,2024-06-11,2024-06-14,3
C570,2024-12-22,2024-12-27,5
C4366,2022-02-15,2022-02-18,3
C1847,2023-03-08,2023-03-12,4
C3318,2021-10-03,2021-10-06,3
C945,2021-12-25,2021-12-27,2
C148,2024-01-14,2024-01-17,3
C1209,2022-04-05,2022-04-11,6
C2158,2025-06-01,2025-06-05,4
C2881,2021-07-12,2021-07-14,2
C2592,2021-06-24,2021-07-01,7
C215,2020-10-17,2020-10-19,2
C682,2022-01-15,2022-01-17,2
C2330,2020-09-18,2020-09-22,4
C4030,2021-11-17,2021-11-21,4
C3341,2023-07-11,2023-07-17,6
C682,2023-07-27,2023-07-31,4
C3836,2022-11-11,2022-11-14,3
C2165,2024-10-20,2024-10-22,2
C4130,2020-06-12,2020-06-18,6
C2467,2020-04-08,2020-04-13,5
C4353,2020-09-03,2020-09-10,7
C2103,2021-11-20,2021-11-23,3
C4762,2024-07-12,2024-07-17,5
C4450,2022-08-05,2022-08-11,6
C868,2022-03-04,2022-03-06,2
C280,2020-03-12,2020-03-13,1
C3999,2024-07-22,2024-07-25,3
C3394,2021-12-31,2022-01-02,2
C4358,2024-08-06,2024-08-11,5
C1135,2024-05-19,2024-05-24,5
C827,2024-07-03,2024-07-05,2
C2910,2024-09-09,2024-09-16,7
C2971,2021-01-08,2021-01-14,6
C4602,2020-12-27,2021-01-02,6
C271,2022-05-26,2022-05-30,4
C334,2023-09-03,2023-09-06,3
C1450,2023-08-01,2023-08-07,6
C2979,2022-11-14,2022-11-16,2
C1658,2022-01-19,2022-01-25,6
C4428,2025-05-27,2025-06-02,6
C4627,2023-10-14,2023-10-18,4
C2938,2021-09-24,2021-09-29,5
C1120,2024-01-27,2024-01-28,1
C1304,2021-03-01,2021-03-06,5
C813,2022-04-14,2022-04-21,7
C713,2022-12-16,2022-12-18,2
C4971,2023-03-01,2023-03-03,2
C2761,2020-12-21,2020-12-26,5
C1836,2024-12-10,2024-12-17,7
C1034,2021-06-22,2021-06-29,7
C3689,2022-04-13,2022-04-14,1
C1980,2025-08-12,2025-08-16,4
C249,2025-02-21,2025-02-28,7
C1483,2025-03-30,2025-04-06,7
C2223,2023-02-18,2023-02-24,6
C918,2023-09-07,2023-09-09,2
C1922,2024-04-29,2024-05-04,5
C507,2025-08-11,2025-08-15,4
C1417,2021-01-27,2021-01-31,4
C3905,2020-04-20,2020-04-22,2
C3921,2025-01-07,2025-01-14,7
C1351,2020-12-28,2020-12-29,1
C3937,2020-07-15,2020-07-20,5
C4155,2022-01-28,2022-01-31,3
C4069,2025-08-07,2025-08-14,7
C379,2024-01-23,2024-01-30,7
C2500,2025-01-08,2025-01-11,3
C3089,2024-11-27,2024-11-30,3
C3106,2024-04-18,2024-04-24,6
C2533,2021-06-15,2021-06-17,2
C367,2023-05-12,2023-05-19,7
C2115,2022-03-19,2022-03-20,1
C3420,2024-05-12,2024-05-18,6
C1654,2022-12-02,2022-12-05,3
C4782,2021-05-31,2021-06-01,1
C3032,2023-08-28,2023-09-01,4
C1178,2023-08-13,2023-08-18,5
C3684,2022-05-19,2022-05-23,4
C1985,2020-12-31,2021-01-01,1
C3589,2025-03-31,2025-04-04,4
C664,2024-07-14,2024-07-20,6
C4209,2023-01-15,2023-01-21,6
C4450,2024-10-23,2024-10-29,6
C4261,2025-02-07,2025-02-08,1
C4262,2024-05-01,2024-05-04,3
C697,2020-10-19,2020-10-25,6
C1293,2023-07-09,2023-07-16,7
C5094,2020-12-06,2020-12-11,5
C5059,2023-07-29,2023-08-02,4
C2749,2024-09-27,2024-09-29,2
C2310,2024-07-19,2024-07-23,4
C3160,2023-10-15,2023-10-21,6
C3762,2021-09-24,2021-09-29,5
C735,2025-07-14,2025-07-16,2
C1134,2024-08-26,2024-08-28,2
C105,2020-08-05,2020-08-07,2
C4472,2022-06-02,2022-06-07,5
C4843,2025-07-03,2025-07-06,3
C2980,2025-01-12,2025-01-14,2
C852,2022-11-18,2022-11-22,4
C854,2024-03-07,2024-03-09,2
C4176,2024-09-22,2024-09-25,3
C134,2021-11-10,2021-11-12,2
C4238,2024-10-25,2024-10-29,4
C980,2022-03-26,2022-03-29,3
C3750,2025-09-13,2025-09-19,6
C2409,2023-01-18,2023-01-25,7
C5056,2022-07-08,2022-07-09,1
C3984,2020-09-30,2020-10-03,3
C1738,2025-01-01,2025-01-05,4
C3731,2020-05-28,2020-05-30,2
C1760,2020-11-18,2020-11-21,3
C4375,2025-01-20,2025-01-21,1
C4920,2020-02-11,2020-02-14,3
C1842,2024-06-14,2024-06-17,3
C401,2024-12-22,2024-12-24,2
C2031,2023-03-17,2023-03-24,7
C212,2025-08-09,2025-08-11,2
C1452,2025-11-12,2025-11-16,4
C4831,2023-12-12,2023-12-17,5
C4746,2023-06-10,2023-06-14,4
C2338,2021-05-30,2021-06-02,3
C2618,2023-02-16,2023-02-22,6
C4501,2024-08-09,2024-08-13,4
C1769,2021-07-16,2021-07-20,4
C4343,2022-07-08,2022-07-15,7
C4869,2024-04-09,2024-04-16,7
C2436,2021-04-27,2021-05-01,4
C4746,2023-04-15,2023-04-19,4
C3344,2021-12-29,2021-12-30,1
C3169,2025-05-03,2025-05-09,6
C1483,2023-12-19,2023-12-20,1
C2200,2022-05-10,2022-05-11,1
C198,2024-01-17,2024-01-21,4
C1040,2020-02-25,2020-03-02,6
C1171,2022-06-05,2022-06-06,1
C2359,2020-09-12,2020-09-18,6
C2196,2020-01-11,2020-01-14,3
C1499,2025-08-30,2025-09-02,3
C136,2021-09-10,2021-09-11,1
C2981,2022-08-16,2022-08-21,5
C1334,2024-06-12,2024-06-17,5
C801,2022-11-26,2022-12-01,5
C2707,2021-05-15,2021-05-22,7
C4872,2023-06-08,2023-06-11,3
C4253,2025-04-17,2025-04-21,4
C2435,2020-05-26,2020-05-28,2
C3436,2022-01-07,2022-01-14,7
C4097,2023-08-17,2023-08-20,3
C1774,2025-01-08,2025-01-12,4
C4963,2022-04-15,2022-04-22,7
C4437,2024-03-14,2024-03-19,5
C1576,2021-11-29,2021-12-04,5
C3862,2023-12-30,2024-01-06,7
C1400,2020-02-18,2020-02-19,1
C1276,2020-01-26,2020-02-02,7
C3101,2024-11-24,2024-11-28,4
C2966,2020-01-02,2020-01-03,1
C3152,2024-01-09,2024-01-10,1
C4617,2020-12-27,2020-12-29,2
C2032,2023-06-04,2023-06-07,3
C2786,2023-11-05,2023-11-09,4
C2800,2021-04-27,2021-04-29,2
C203,2025-03-30,2025-04-06,7
C1878,2020-05-31,2020-06-02,2
C4162,2022-08-04,2022-08-06,2
C216,2023-09-26,2023-09-29,3
C1743,2022-03-22,2022-03-28,6
C1174,2021-04-23,2021-04-30,7
C1858,2020-08-07,2020-08-13,6
C3928,2021-02-01,2021-02-07,6
C300,2020-09-16,2020-09-18,2
C1416,2025-05-06,2025-05-12,6
C3783,2021-01-18,2021-01-22,4
C2060,2021-05-11,2021-05-18,7
C4159,2022-06-01,2022-06-08,7
C3729,2020-08-08,2020-08-09,1
C1122,2023-01-09,2023-01-12,3
C2727,2021-01-01,2021-01-03,2
C2987,2021-09-02,2021-09-05,3
C1710,2020-02-15,2020-02-17,2
C3597,2024-03-12,2024-03-17,5
C998,2022-03-04,2022-03-11,7
C2198,2022-01-04,2022-01-07,3
C1800,2022-04-17,2022-04-22,5
C2374,2021-08-04,2021-08-11,7
C685,2024-11-19,2024-11-21,2
C4207,2020-02-20,2020-02-23,3
C4546,2024-10-17,2024-10-23,6
C2939,2021-04-19,2021-04-26,7
C2101,2024-11-28,2024-12-01,3
C2154,2025-06-05,2025-06-08,3
C243,2022-12-08,2022-12-12,4
C5015,2022-06-06,2022-06-08,2
C4512,2022-08-24,2022-08-27,3
C4374,2020-03-07,2020-03-11,4
C3452,2020-04-19,2020-04-20,1
C2326,2024-11-07,2024-11-09,2
C917,2025-01-29,2025-02-01,3
C3296,2024-03-14,2024-03-16,2
C3746,2024-11-08,2024-11-09,1
C2773,2023-06-15,2023-06-17,2
C2241,2024-11-04,2024-11-11,7
C2821,2024-03-17,2024-03-22,5
C4812,2022-10-09,2022-10-11,2
C1459,2022-08-21,2022-08-22,1
C1528,2020-07-26,2020-07-27,1
C1556,2022-02-03,2022-02-04,1
C1255,2024-10-13,2024-10-14,1
C4885,2022-06-22,2022-06-24,2
C3772,2024-09-11,2024-09-14,3
C4969,2021-08-02,2021-08-03,1
C4859,2020-12-23,2020-12-28,5
C2220,2025-03-16,2025-03-18,2
C214,2021-06-14,2021-06-15,1
C1888,2023-08-29,2023-09-03,5
C2859,2023-04-06,2023-04-13,7
C3910,2023-07-08,2023-07-13,5
C1989,2024-07-01,2024-07-02,1
C4166,2023-09-08,2023-09-13,5
C1990,2021-10-20,2021-10-24,4
C1628,2020-10-11,2020-10-18,7
C3909,2024-07-28,2024-08-03,6
C4176,2025-03-19,2025-03-23,4
C2688,2021-06-29,2021-07-02,3
C1469,2025-03-21,2025-03-25,4
C1070,2024-11-11,2024-11-17,6
C533,2021-05-25,2021-05-29,4
C4047,2024-04-24,2024-04-26,2
C130,2020-02-10,2020-02-14,4
C4723,2023-12-23,2023-12-28,5
C3134,2021-11-27,2021-12-02,5
C219,2021-08-23,2021-08-24,1
C3022,2020-04-03,2020-04-05,2
C4052,2024-07-01,2024-07-04,3
C141,2023-01-18,2023-01-20,2
C1829,2020-08-22,2020-08-29,7
C3168,2022-11-17,2022-11-19,2
C3566,2020-11-22,2020-11-24,2
C286,2021-08-30,2021-09-01,2
C960,2022-08-15,2022-08-22,7
C3796,2022-01-10,2022-01-16,6
C2265,2024-02-24,2024-02-29,5
C3122,2021-01-15,2021-01-21,6
C1281,2022-07-19,2022-07-26,7
C4148,2021-04-06,2021-04-08,2
C1809,2021-12-26,2021-12-31,5
C2070,2023-04-23,2023-04-29,6
C4675,2025-04-06,2025-04-12,6
C2607,2020-04-29,2020-05-04,5
C2074,2020-01-17,2020-01-19,2
C4471,2020-08-19,2020-08-25,6
C2438,2024-05-10,2024-05-17,7
C4444,2022-07-22,2022-07-25,3
C2888,2024-07-06,2024-07-11,5
C659,2022-09-06,2022-09-10,4
C3259,2022-11-25,2022-12-02,7
C2522,2020-02-29,2020-03-06,6
C4724,2024-10-06,2024-10-13,7
C608,2025-08-07,2025-08-08,1
C745,2021-10-04,2021-10-11,7
C3783,2020-07-23,2020-07-24,1
C883,2022-02-16,2022-02-18,2
C604,2025-06-01,2025-06-03,2
C1147,2023-12-26,2023-12-27,1
C3924,2020-09-10,2020-09-17,7
C2529,2024-12-27,2024-12-31,4
C1797,2020-01-14,2020-01-20,6
C813,2024-08-22,2024-08-28,6
C1016,2022-03-02,2022-03-06,4
C287,2022-01-31,2022-02-05,5
C3206,2022-10-31,2022-11-06,6
C597,2020-04-03,2020-04-09,6
C2822,2021-01-12,2021-01-16,4
C2099,2021-08-12,2021-08-17,5
C4733,2021-05-10,2021-05-11,1
C4205,2021-05-27,2021-06-01,5
C332,2023-07-20,2023-07-21,1
C2170,2022-02-16,2022-02-20,4
C4884,2023-05-06,2023-05-10,4
C4701,2024-02-01,2024-02-06,5
C141,2023-09-07,2023-09-09,2
C4268,2021-02-02,2021-02-06,4
C5020,2021-11-20,2021-11-27,7
C3819,2023-05-01,2023-05-05,4
C3373,2021-06-03,2021-06-10,7
C4404,2023-07-08,2023-07-14,6
C1076,2021-01-10,2021-01-11,1
C835,2025-07-31,2025-08-02,2
C3091,2022-06-10,2022-06-12,2
C628,2021-12-29,2021-12-30,1
C1053,2024-12-07,2024-12-08,1
C1574,2023-03-20,2023-03-22,2
C3122,2024-05-01,2024-05-07,6
C4193,2020-07-10,2020-07-16,6
C3537,2021-06-27,2021-06-29,2
C3890,2024-07-24,2024-07-26,2
C1338,2022-03-24,2022-03-28,4
C397,2020-02-06,2020-02-08,2
C1021,2024-06-20,2024-06-23,3
C137,2020-11-14,2020-11-17,3
C855,2024-06-02,2024-06-08,6
C2976,2022-01-26,2022-01-31,5
C4937,2020-10-18,2020-10-22,4
C2365,2020-01-21,2020-01-27,6
C1106,2024-04-03,2024-04-05,2
C2428,2024-12-23,2024-12-28,5
C4802,2024-08-29,2024-09-05,7
C1050,2021-05-01,2021-05-04,3
C3399,2022-01-05,2022-01-10,5
C3678,2024-12-24,2024-12-29,5
C2648,2021-02-14,2021-02-17,3
C978,2021-01-21,2021-01-22,1
C1423,2025-05-28,2025-05-29,1
C860,2020-01-03,2020-01-07,4
C4481,2020-03-09,2020-03-14,5
C1060,2021-01-09,2021-01-10,1
C1361,2025-06-01,2025-06-05,4
C3901,2023-06-26,2023-06-30,4
C2502,2020-07-18,2020-07-25,7
C4707,2020-10-15,2020-10-21,6
C1064,2024-10-30,2024-11-01,2
C4309,2025-06-13,2025-06-16,3
C3227,2023-03-01,2023-03-02,1
C3320,2021-07-21,2021-07-22,1
C3297,2021-07-26,2021-08-02,7
C2074,2023-05-27,2023-05-30,3
C4060,2020-04-21,2020-04-23,2
C1158,2023-05-12,2023-05-15,3
C509,2024-03-03,2024-03-06,3
C4930,2021-07-19,2021-07-26,7
C2080,2022-06-03,2022-06-09,6
C513,2024-07-24,2024-07-26,2
C4232,2020-10-29,2020-10-30,1
C4470,2021-06-16,2021-06-19,3
C2796,2020-10-13,2020-10-19,6
C3028,2024-10-05,2024-10-12,7
C4329,2021-03-19,2021-03-25,6
C3614,2020-10-04,2020-10-06,2
C590,2025-05-06,2025-05-09,3
C904,2020-08-26,2020-08-27,1
