BookingID,CustomerID,RoomTypeID,BranchID,CheckInDate,CheckOutDate,Duration,Revenue,BookingStatus,CancellationReason,LeadTime,PaymentMethod,DiscountApplied,BookingChannel,Purpose,Stay_Type
BK14841,C1498,RT4,B1,2020-01-03,2020-01-07,4,22000,Cancelled,Weather,41,Credit Card,15,Website,Holiday,Long Stay
BK20873,C682,RT2,B3,2020-01-03,2020-01-10,7,28000,No-show,,45,Corporate Account,0,Mobile App,Conference,Medium Stay
BK21688,C4263,RT4,B2,2020-01-03,2020-01-05,2,11000,No-show,,12,Credit Card,5,Call Center,Conference,Medium Stay
BK23706,C2691,RT3,B4,2020-01-03,2020-01-05,2,15000,Checked-in,,37,Corporate Account,0,Travel Agent,Vacation,Iong Stay
BK23918,C4591,RT2,B2,2020-01-03,2020-01-09,6,24000,No-show,,18,Corporate Account,15,Travel Agent,,Other
BK25975,C165,RT1,B2,2020-01-03,2020-01-10,7,17500,Cancelled,Change of plans,16,Cash,20,Website,Conference,Medium Stay
BK1956,C1280,RT3,B3,2020-01-04,2020-01-08,4,30000,Checked-in,,58,Cash,0,Travel Agent,Holiday,Long Stay
BK4058,C2416,RT2,B4,2020-01-04,2020-01-08,4,16000,Cancelled,Weather,8,Cash,15,Travel Agent,Business,Short Stay
BK5212,C3139,RT1,B1,2020-01-04,2020-01-11,7,17500,Cancelled,Change of plans,9,Cash,15,Call Center,Business,Short Stay
BK7361,C1923,RT4,B2,2020-01-04,2020-01-11,7,38500,Checked-in,,37,Cash,0,Mobile App,Business,Short Stay
BK10579,C4262,RT2,B1,2020-01-04,2020-01-07,3,12000,Checked-in,,53,UPI,15,Mobile App,Business,Short Stay
BK15346,C1306,RT1,B5,2020-01-04,2020-01-09,5,12500,Cancelled,Weather,45,Credit Card,15,Travel Agent,Vacation,Iong Stay
BK15675,C925,RT4,B5,2020-01-04,2020-01-08,4,22000,Checked-in,,33,UPI,5,Travel Agent,Vacation,Iong Stay
BK15708,C191,RT4,B5,2020-01-04,2020-01-08,4,22000,Cancelled,Price,26,UPI,0,Website,Holiday,Long Stay
BK15936,C521,RT4,B2,2020-01-04,2020-01-08,4,22000,Checked-in,,18,Corporate Account,5,Call Center,Conference,Medium Stay
BK16498,C2549,RT2,B5,2020-01-04,2020-01-10,6,24000,Checked-in,,47,Corporate Account,5,Mobile App,Holiday,Long Stay
BK17775,C1205,RT2,B4,2020-01-04,2020-01-10,6,24000,Cancelled,Price,41,Credit Card,0,Website,Holiday,Long Stay
BK19136,C407,RT2,B1,2020-01-04,2020-01-06,2,8000,Cancelled,Weather,12,Credit Card,0,Call Center,Business,Short Stay
BK20208,C4928,RT1,B2,2020-01-04,2020-01-06,2,5000,Checked-in,,30,Corporate Account,10,Travel Agent,Business,Short Stay
BK22459,C1694,RT1,B3,2020-01-04,2020-01-05,1,2500,Cancelled,Change of plans,34,Cash,20,Call Center,Vacation,Iong Stay
BK27417,C4224,RT3,B5,2020-01-04,2020-01-07,3,22500,Checked-in,,53,UPI,15,Travel Agent,Holiday,Long Stay
BK7818,C2012,RT3,B1,2020-01-05,2020-01-06,1,7500,No-show,,41,UPI,0,Mobile App,Business,Short Stay
BK8859,C268,RT3,B1,2020-01-05,2020-01-06,1,7500,Cancelled,Other,15,Cash,20,Travel Agent,Vacation,Iong Stay
BK10790,C631,RT1,B4,2020-01-05,2020-01-10,5,12500,No-show,,32,Credit Card,0,Travel Agent,,Other
BK11253,C5027,RT1,B2,2020-01-05,2020-01-08,3,7500,Cancelled,Change of plans,13,Credit Card,0,Mobile App,Conference,Medium Stay
BK13814,C2765,RT1,B5,2020-01-05,2020-01-11,6,15000,No-show,,44,Corporate Account,0,Travel Agent,Vacation,Iong Stay
BK14384,C3379,RT4,B5,2020-01-05,2020-01-11,6,33000,Checked-in,,41,Credit Card,10,Call Center,Vacation,Iong Stay
BK14455,C1769,RT4,B2,2020-01-05,2020-01-06,1,5500,Checked-in,,5,UPI,15,Call Center,Business,Short Stay
BK18278,C3887,RT3,B2,2020-01-05,2020-01-12,7,52500,Checked-in,,7,Cash,10,Mobile App,,Other
BK21641,C2630,RT4,B5,2020-01-05,2020-01-11,6,33000,No-show,,55,Cash,0,Mobile App,,Other
BK24294,C2419,RT2,B4,2020-01-05,2020-01-09,4,16000,Checked-in,,58,Corporate Account,10,Mobile App,Vacation,Iong Stay
BK1053,C844,RT4,B2,2020-01-06,2020-01-12,6,33000,Cancelled,Other,54,UPI,20,Call Center,Vacation,Iong Stay
BK1232,C281,RT4,B1,2020-01-06,2020-01-09,3,16500,Cancelled,Other,51,Cash,10,Travel Agent,Holiday,Long Stay
BK2469,C251,RT3,B2,2020-01-06,2020-01-10,4,30000,Cancelled,Other,29,Corporate Account,5,Mobile App,Holiday,Long Stay
BK6557,C4389,RT4,B4,2020-01-06,2020-01-12,6,33000,Cancelled,Price,46,Credit Card,10,Call Center,Conference,Medium Stay
BK7738,C1959,RT1,B4,2020-01-06,2020-01-13,7,17500,Checked-in,,15,Corporate Account,10,Travel Agent,Conference,Medium Stay
BK12869,C2198,RT2,B2,2020-01-06,2020-01-10,4,16000,No-show,,18,Credit Card,15,Travel Agent,Conference,Medium Stay
BK13338,C1752,RT3,B1,2020-01-06,2020-01-09,3,22500,No-show,,36,Credit Card,0,Mobile App,Vacation,Iong Stay
BK15099,C3289,RT4,B5,2020-01-06,2020-01-09,3,16500,Checked-in,,34,UPI,5,Mobile App,Conference,Medium Stay
BK16967,C1090,RT1,B3,2020-01-06,2020-01-09,3,7500,Checked-in,,37,UPI,20,Mobile App,Business,Short Stay
BK17453,C4610,RT2,B1,2020-01-06,2020-01-10,4,16000,No-show,,5,Credit Card,15,Website,Holiday,Long Stay
BK17817,C4005,RT1,B3,2020-01-06,2020-01-08,2,5000,No-show,,23,Corporate Account,0,Website,,Other
BK22875,C4768,RT2,B2,2020-01-06,2020-01-11,5,20000,No-show,,6,UPI,5,Travel Agent,Business,Short Stay
BK24215,C5070,RT1,B1,2020-01-06,2020-01-11,5,12500,Checked-in,,21,UPI,20,Call Center,,Other
BK25071,C549,RT3,B1,2020-01-06,2020-01-11,5,37500,No-show,,31,Cash,0,Call Center,Business,Short Stay
BK28632,C3805,RT2,B2,2020-01-06,2020-01-08,2,8000,Checked-in,,49,Cash,0,Call Center,Business,Short Stay
BK1207,C4578,RT3,B2,2020-01-07,2020-01-11,4,30000,Checked-in,,3,Cash,0,Website,Business,Short Stay
BK1246,C173,RT3,B1,2020-01-07,2020-01-10,3,22500,Cancelled,Change of plans,25,UPI,20,Website,Business,Short Stay
BK5401,C371,RT4,B2,2020-01-07,2020-01-11,4,22000,No-show,,33,Cash,10,Mobile App,,Other
BK12338,C203,RT4,B5,2020-01-07,2020-01-09,2,11000,Checked-in,,44,UPI,15,Mobile App,Vacation,Iong Stay
BK13307,C4309,RT4,B2,2020-01-07,2020-01-11,4,22000,No-show,,12,Credit Card,5,Mobile App,Business,Short Stay
BK14496,C3823,RT2,B3,2020-01-07,2020-01-12,5,20000,Cancelled,Weather,0,Cash,20,Mobile App,Vacation,Iong Stay
BK16292,C442,RT4,B3,2020-01-07,2020-01-08,1,5500,No-show,,41,Cash,10,Website,Vacation,Iong Stay
BK16798,C2125,RT3,B1,2020-01-07,2020-01-09,2,15000,No-show,,6,Cash,20,Mobile App,Vacation,Iong Stay
BK17988,C3500,RT3,B2,2020-01-07,2020-01-13,6,45000,No-show,,39,Credit Card,10,Call Center,Conference,Medium Stay
BK18775,C1059,RT3,B3,2020-01-07,2020-01-14,7,52500,No-show,,34,UPI,5,Mobile App,Conference,Medium Stay
BK20158,C4562,RT1,B5,2020-01-07,2020-01-09,2,5000,Checked-in,,45,Credit Card,10,Call Center,Business,Short Stay
BK23245,C1765,RT3,B5,2020-01-07,2020-01-10,3,22500,Checked-in,,16,Credit Card,10,Website,Holiday,Long Stay
BK25097,C3706,RT1,B4,2020-01-07,2020-01-10,3,7500,Checked-in,,16,Credit Card,0,Website,Vacation,Iong Stay
BK25708,C4951,RT4,B5,2020-01-07,2020-01-08,1,5500,Cancelled,Price,9,Cash,20,Travel Agent,Holiday,Long Stay
BK27754,C4103,RT4,B3,2020-01-07,2020-01-08,1,5500,Cancelled,Weather,11,UPI,15,Call Center,,Other
BK4241,C400,RT1,B5,2020-01-08,2020-01-09,1,2500,Checked-in,,57,Corporate Account,20,Travel Agent,Holiday,Long Stay
BK5725,C4848,RT1,B2,2020-01-08,2020-01-12,4,10000,Checked-in,,53,Corporate Account,0,Website,,Other
BK6105,C3351,RT4,B1,2020-01-08,2020-01-13,5,27500,No-show,,3,Corporate Account,5,Call Center,Vacation,Iong Stay
BK8296,C3001,RT3,B5,2020-01-08,2020-01-09,1,7500,No-show,,60,Cash,20,Mobile App,Vacation,Iong Stay
BK8607,C275,RT2,B1,2020-01-08,2020-01-13,5,20000,No-show,,38,Cash,10,Mobile App,Conference,Medium Stay
BK10629,C3827,RT4,B2,2020-01-08,2020-01-09,1,5500,Checked-in,,19,Credit Card,0,Travel Agent,Holiday,Long Stay
BK12014,C2562,RT2,B3,2020-01-08,2020-01-13,5,20000,Checked-in,,47,Cash,5,Mobile App,Business,Short Stay
BK14372,C251,RT2,B1,2020-01-08,2020-01-15,7,28000,Checked-in,,25,Corporate Account,20,Website,Business,Short Stay
BK18554,C761,RT4,B5,2020-01-08,2020-01-10,2,11000,Cancelled,Other,11,Credit Card,20,Mobile App,Holiday,Long Stay
BK20295,C3888,RT4,B3,2020-01-08,2020-01-15,7,38500,No-show,,52,Credit Card,5,Mobile App,Holiday,Long Stay
BK21566,C2184,RT1,B3,2020-01-08,2020-01-11,3,7500,Cancelled,Weather,0,Cash,0,Call Center,Holiday,Long Stay
BK21595,C2698,RT1,B1,2020-01-08,2020-01-10,2,5000,Cancelled,Weather,49,UPI,10,Call Center,Holiday,Long Stay
BK22191,C2998,RT2,B4,2020-01-08,2020-01-10,2,8000,Cancelled,Weather,56,UPI,10,Call Center,,Other
BK23461,C2492,RT1,B5,2020-01-08,2020-01-15,7,17500,Cancelled,Other,20,Corporate Account,15,Travel Agent,Vacation,Iong Stay
BK24263,C255,RT1,B4,2020-01-08,2020-01-09,1,2500,Cancelled,Change of plans,16,UPI,5,Mobile App,Conference,Medium Stay
BK24535,C979,RT3,B2,2020-01-08,2020-01-15,7,52500,Checked-in,,41,Corporate Account,5,Travel Agent,,Other
BK25300,C2906,RT1,B4,2020-01-08,2020-01-11,3,7500,No-show,,8,Cash,15,Call Center,Conference,Medium Stay
BK1776,C3797,RT4,B5,2020-01-09,2020-01-13,4,22000,No-show,,21,Corporate Account,5,Website,Business,Short Stay
BK3771,C1003,RT2,B1,2020-01-09,2020-01-13,4,16000,No-show,,52,UPI,15,Travel Agent,Conference,Medium Stay
BK4414,C668,RT4,B1,2020-01-09,2020-01-13,4,22000,Cancelled,Other,17,Cash,20,Call Center,Business,Short Stay
BK4969,C2271,RT3,B1,2020-01-09,2020-01-11,2,15000,No-show,,30,Cash,20,Travel Agent,Business,Short Stay
BK12693,C1948,RT4,B1,2020-01-09,2020-01-15,6,33000,Checked-in,,7,UPI,20,Call Center,Conference,Medium Stay
BK13155,C4077,RT1,B2,2020-01-09,2020-01-13,4,10000,No-show,,45,Corporate Account,15,Call Center,Business,Short Stay
BK13263,C2008,RT2,B5,2020-01-09,2020-01-11,2,8000,No-show,,31,Corporate Account,20,Call Center,Holiday,Long Stay
BK14021,C1410,RT1,B3,2020-01-09,2020-01-10,1,2500,Checked-in,,56,UPI,20,Travel Agent,Vacation,Iong Stay
BK14350,C1021,RT3,B1,2020-01-09,2020-01-10,1,7500,No-show,,29,UPI,5,Travel Agent,Vacation,Iong Stay
BK16890,C1056,RT2,B5,2020-01-09,2020-01-15,6,24000,Checked-in,,15,Cash,0,Travel Agent,Holiday,Long Stay
BK18679,C4266,RT3,B5,2020-01-09,2020-01-13,4,30000,Checked-in,,10,Credit Card,0,Website,Holiday,Long Stay
BK19783,C1932,RT4,B4,2020-01-09,2020-01-11,2,11000,Checked-in,,26,UPI,15,Website,Holiday,Long Stay
BK21429,C876,RT3,B5,2020-01-09,2020-01-10,1,7500,Cancelled,Change of plans,4,Credit Card,5,Mobile App,Conference,Medium Stay
BK22390,C1272,RT1,B2,2020-01-09,2020-01-10,1,2500,Checked-in,,26,UPI,0,Call Center,Conference,Medium Stay
BK24660,C3144,RT2,B2,2020-01-09,2020-01-15,6,24000,No-show,,36,Cash,10,Website,Conference,Medium Stay
BK2238,C2244,RT1,B1,2020-01-10,2020-01-14,4,10000,No-show,,43,UPI,10,Mobile App,Conference,Medium Stay
BK3483,C5044,RT2,B4,2020-01-10,2020-01-13,3,12000,No-show,,25,Corporate Account,5,Travel Agent,Vacation,Iong Stay
BK4010,C3484,RT1,B4,2020-01-10,2020-01-14,4,10000,Checked-in,,23,Cash,10,Call Center,Vacation,Iong Stay
BK7913,C1930,RT1,B4,2020-01-10,2020-01-15,5,12500,Cancelled,Price,33,UPI,5,Website,Vacation,Iong Stay
BK12494,C3950,RT4,B5,2020-01-10,2020-01-13,3,16500,No-show,,44,Credit Card,5,Call Center,Vacation,Iong Stay
BK16261,C989,RT3,B3,2020-01-10,2020-01-16,6,45000,Checked-in,,29,Corporate Account,15,Mobile App,Holiday,Long Stay
BK17066,C2002,RT1,B4,2020-01-10,2020-01-12,2,5000,Checked-in,,58,UPI,20,Mobile App,Conference,Medium Stay
BK17485,C2136,RT2,B5,2020-01-10,2020-01-17,7,28000,No-show,,5,Credit Card,15,Website,,Other
BK18236,C357,RT3,B1,2020-01-10,2020-01-15,5,37500,Checked-in,,53,Corporate Account,10,Travel Agent,Business,Short Stay
BK21544,C4386,RT1,B5,2020-01-10,2020-01-16,6,15000,Checked-in,,8,Corporate Account,5,Mobile App,Conference,Medium Stay
BK21800,C1874,RT1,B1,2020-01-10,2020-01-15,5,12500,Cancelled,Change of plans,44,Cash,10,Mobile App,Holiday,Long Stay
BK23354,C252,RT1,B1,2020-01-10,2020-01-15,5,12500,Cancelled,Change of plans,48,UPI,10,Mobile App,,Other
BK24634,C2348,RT4,B2,2020-01-10,2020-01-14,4,22000,No-show,,16,Credit Card,10,Call Center,Conference,Medium Stay
BK24914,C4782,RT4,B2,2020-01-10,2020-01-12,2,11000,Cancelled,Weather,26,Credit Card,10,Mobile App,Business,Short Stay
BK26466,C1541,RT4,B3,2020-01-10,2020-01-15,5,27500,No-show,,60,Corporate Account,5,Call Center,Vacation,Iong Stay
BK27944,C4638,RT4,B1,2020-01-10,2020-01-13,3,16500,Cancelled,Weather,10,Credit Card,10,Website,Vacation,Iong Stay
BK28064,C285,RT1,B5,2020-01-10,2020-01-11,1,2500,Cancelled,Change of plans,10,UPI,15,Mobile App,,Other
BK1169,C1675,RT3,B4,2020-01-11,2020-01-18,7,52500,No-show,,16,Cash,15,Mobile App,Holiday,Long Stay
BK1500,C2196,RT3,B2,2020-01-11,2020-01-14,3,22500,Cancelled,Weather,20,Corporate Account,20,Call Center,Holiday,Long Stay
BK2499,C1356,RT2,B2,2020-01-11,2020-01-13,2,8000,Checked-in,,58,UPI,5,Travel Agent,Vacation,Iong Stay
BK8874,C481,RT3,B2,2020-01-11,2020-01-16,5,37500,No-show,,3,Credit Card,15,Call Center,Vacation,Iong Stay
BK9148,C4600,RT4,B1,2020-01-11,2020-01-17,6,33000,Checked-in,,46,UPI,10,Mobile App,,Other
BK14257,C1184,RT1,B5,2020-01-11,2020-01-18,7,17500,No-show,,15,Corporate Account,10,Mobile App,Holiday,Long Stay
BK15555,C3030,RT4,B4,2020-01-11,2020-01-13,2,11000,Checked-in,,47,Credit Card,15,Call Center,Conference,Medium Stay
BK15586,C1424,RT4,B2,2020-01-11,2020-01-13,2,11000,Cancelled,Weather,38,Cash,15,Travel Agent,Holiday,Long Stay
BK17785,C2769,RT2,B5,2020-01-11,2020-01-15,4,16000,Cancelled,Price,47,Cash,20,Website,Business,Short Stay
BK18596,C2927,RT2,B1,2020-01-11,2020-01-16,5,20000,No-show,,41,UPI,20,Call Center,Vacation,Iong Stay
BK23796,C1029,RT1,B1,2020-01-11,2020-01-16,5,12500,Cancelled,Price,38,Credit Card,20,Travel Agent,Holiday,Long Stay
BK25204,C4176,RT2,B5,2020-01-11,2020-01-16,5,20000,No-show,,50,UPI,10,Travel Agent,,Other
BK26822,C633,RT3,B2,2020-01-11,2020-01-15,4,30000,Checked-in,,41,UPI,0,Travel Agent,Holiday,Long Stay
BK28281,C3476,RT2,B1,2020-01-11,2020-01-16,5,20000,Checked-in,,60,UPI,20,Mobile App,Vacation,Iong Stay
BK3462,C2587,RT3,B1,2020-01-12,2020-01-16,4,30000,No-show,,50,Corporate Account,15,Mobile App,Conference,Medium Stay
BK4388,C4389,RT4,B4,2020-01-12,2020-01-19,7,38500,Checked-in,,15,Cash,0,Travel Agent,Conference,Medium Stay
BK5048,C1958,RT4,B2,2020-01-12,2020-01-14,2,11000,Checked-in,,40,Credit Card,20,Call Center,Conference,Medium Stay
BK19468,C3847,RT2,B5,2020-01-12,2020-01-14,2,8000,No-show,,53,Corporate Account,15,Travel Agent,Vacation,Iong Stay
BK2620,C603,RT1,B3,2020-01-13,2020-01-18,5,12500,No-show,,59,Corporate Account,10,Call Center,Business,Short Stay
BK6967,C4639,RT2,B4,2020-01-13,2020-01-18,5,20000,Cancelled,Price,10,Credit Card,5,Travel Agent,,Other
BK7596,C2100,RT4,B2,2020-01-13,2020-01-15,2,11000,Checked-in,,47,Cash,0,Travel Agent,,Other
BK11287,C1936,RT4,B1,2020-01-13,2020-01-17,4,22000,Cancelled,Other,1,UPI,5,Travel Agent,,Other
BK11296,C1932,RT4,B2,2020-01-13,2020-01-18,5,27500,Checked-in,,36,UPI,5,Website,,Other
BK11764,C109,RT1,B3,2020-01-13,2020-01-16,3,7500,Checked-in,,2,UPI,5,Travel Agent,Business,Short Stay
BK12344,C3126,RT4,B2,2020-01-13,2020-01-19,6,33000,No-show,,11,Credit Card,5,Call Center,Vacation,Iong Stay
BK14441,C4559,RT4,B2,2020-01-13,2020-01-15,2,11000,Checked-in,,16,Credit Card,0,Call Center,,Other
BK15186,C2701,RT1,B2,2020-01-13,2020-01-18,5,12500,Cancelled,Other,16,UPI,20,Travel Agent,Conference,Medium Stay
BK18808,C3808,RT1,B4,2020-01-13,2020-01-17,4,10000,No-show,,21,Credit Card,5,Mobile App,,Other
BK19166,C2605,RT4,B2,2020-01-13,2020-01-16,3,16500,Cancelled,Price,29,Corporate Account,15,Travel Agent,Holiday,Long Stay
BK19247,C245,RT3,B5,2020-01-13,2020-01-19,6,45000,Cancelled,Price,12,UPI,5,Mobile App,Conference,Medium Stay
BK21562,C210,RT3,B1,2020-01-13,2020-01-16,3,22500,No-show,,33,Credit Card,0,Call Center,Holiday,Long Stay
BK21708,C3112,RT2,B2,2020-01-13,2020-01-14,1,4000,No-show,,60,Cash,20,Travel Agent,Conference,Medium Stay
BK22255,C4256,RT2,B3,2020-01-13,2020-01-16,3,12000,Cancelled,Change of plans,35,Credit Card,15,Mobile App,Business,Short Stay
BK22870,C1301,RT3,B3,2020-01-13,2020-01-14,1,7500,Checked-in,,15,UPI,10,Call Center,Conference,Medium Stay
BK26155,C2298,RT1,B3,2020-01-13,2020-01-18,5,12500,Checked-in,,13,UPI,10,Mobile App,Vacation,Iong Stay
BK28539,C803,RT4,B5,2020-01-13,2020-01-17,4,22000,No-show,,55,Corporate Account,20,Travel Agent,Holiday,Long Stay
BK28849,C3103,RT1,B4,2020-01-13,2020-01-15,2,5000,No-show,,55,Cash,0,Travel Agent,Holiday,Long Stay
BK1630,C1797,RT2,B4,2020-01-14,2020-01-20,6,24000,Cancelled,Other,43,Corporate Account,5,Mobile App,Conference,Medium Stay
BK3175,C3841,RT4,B4,2020-01-14,2020-01-19,5,27500,Checked-in,,56,Credit Card,0,Website,Conference,Medium Stay
BK4719,C2308,RT2,B5,2020-01-14,2020-01-15,1,4000,Checked-in,,14,Corporate Account,15,Website,,Other
BK5284,C4327,RT3,B1,2020-01-14,2020-01-17,3,22500,Checked-in,,50,UPI,15,Call Center,Holiday,Long Stay
BK5796,C5030,RT2,B4,2020-01-14,2020-01-15,1,4000,Checked-in,,11,UPI,10,Website,Business,Short Stay
BK8040,C1448,RT2,B5,2020-01-14,2020-01-21,7,28000,Cancelled,Change of plans,40,Credit Card,15,Travel Agent,Conference,Medium Stay
BK11752,C912,RT4,B1,2020-01-14,2020-01-19,5,27500,Checked-in,,20,Corporate Account,5,Call Center,Vacation,Iong Stay
BK11775,C4999,RT3,B3,2020-01-14,2020-01-15,1,7500,Checked-in,,42,UPI,15,Travel Agent,Vacation,Iong Stay
BK14909,C2663,RT1,B3,2020-01-14,2020-01-21,7,17500,Checked-in,,17,Credit Card,0,Mobile App,,Other
BK16015,C120,RT4,B1,2020-01-14,2020-01-16,2,11000,Cancelled,Change of plans,29,Credit Card,0,Call Center,,Other
BK17715,C2915,RT2,B5,2020-01-14,2020-01-16,2,8000,Checked-in,,33,UPI,0,Website,Business,Short Stay
BK17766,C5048,RT2,B2,2020-01-14,2020-01-20,6,24000,Cancelled,Price,56,Cash,5,Mobile App,Business,Short Stay
BK20545,C4749,RT4,B4,2020-01-14,2020-01-21,7,38500,Cancelled,Price,45,Credit Card,10,Website,,Other
BK24532,C2114,RT1,B3,2020-01-14,2020-01-17,3,7500,Cancelled,Price,30,UPI,20,Mobile App,Holiday,Long Stay
BK26804,C2761,RT3,B1,2020-01-14,2020-01-21,7,52500,Cancelled,Change of plans,5,Cash,10,Call Center,Business,Short Stay
BK26981,C125,RT1,B3,2020-01-14,2020-01-18,4,10000,No-show,,40,Corporate Account,20,Mobile App,Vacation,Iong Stay
BK5722,C2354,RT3,B2,2020-01-15,2020-01-19,4,30000,Cancelled,Other,18,UPI,5,Travel Agent,,Other
BK6757,C2963,RT1,B1,2020-01-15,2020-01-18,3,7500,Cancelled,Weather,60,Cash,5,Mobile App,Business,Short Stay
BK8853,C860,RT1,B2,2020-01-15,2020-01-22,7,17500,Cancelled,Change of plans,57,Corporate Account,10,Mobile App,Business,Short Stay
BK9241,C4020,RT3,B3,2020-01-15,2020-01-21,6,45000,Checked-in,,38,Credit Card,5,Travel Agent,,Other
BK10135,C178,RT4,B1,2020-01-15,2020-01-22,7,38500,Cancelled,Weather,17,Credit Card,0,Website,Holiday,Long Stay
BK10568,C1187,RT1,B4,2020-01-15,2020-01-17,2,5000,Cancelled,Change of plans,32,Credit Card,5,Call Center,Conference,Medium Stay
BK14586,C3482,RT3,B4,2020-01-15,2020-01-18,3,22500,Checked-in,,40,Corporate Account,15,Website,,Other
BK15224,C4178,RT3,B1,2020-01-15,2020-01-21,6,45000,Checked-in,,19,Cash,0,Website,Conference,Medium Stay
BK15547,C2284,RT1,B5,2020-01-15,2020-01-20,5,12500,Cancelled,Price,25,UPI,5,Mobile App,Business,Short Stay
BK17922,C2543,RT1,B2,2020-01-15,2020-01-19,4,10000,Cancelled,Change of plans,16,UPI,15,Mobile App,Business,Short Stay
BK18125,C807,RT1,B3,2020-01-15,2020-01-16,1,2500,Checked-in,,5,Corporate Account,20,Mobile App,Conference,Medium Stay
BK18426,C800,RT3,B1,2020-01-15,2020-01-16,1,7500,Cancelled,Price,50,Corporate Account,15,Mobile App,Vacation,Iong Stay
BK18482,C181,RT2,B1,2020-01-15,2020-01-17,2,8000,Cancelled,Weather,25,Corporate Account,15,Mobile App,Holiday,Long Stay
BK19089,C3026,RT3,B2,2020-01-15,2020-01-21,6,45000,No-show,,53,Cash,10,Travel Agent,,Other
BK22083,C1980,RT1,B4,2020-01-15,2020-01-20,5,12500,Checked-in,,16,Credit Card,0,Website,Business,Short Stay
BK25465,C3167,RT2,B2,2020-01-15,2020-01-22,7,28000,Cancelled,Weather,2,Cash,20,Website,Vacation,Iong Stay
BK27848,C4035,RT4,B4,2020-01-15,2020-01-18,3,16500,Cancelled,Change of plans,17,Cash,5,Call Center,Conference,Medium Stay
